k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2
k__Bacteria; p__; c__; o__
k__Bacteria; p__Acidobacteria; c__AT-s2-57; o__
k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales
k__Bacteria; p__Acidobacteria; c__BPC102; o__B110
k__Bacteria; p__Acidobacteria; c__OS-K; o__
k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725
k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales
k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__
k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14
k__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Euzebyales
k__Bacteria; p__Actinobacteria; c__OPB41; o__
k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales
k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales
k__Bacteria; p__Bacteroidetes; c__At12OctB3; o__
k__Bacteria; p__Bacteroidetes; c__BME43; o__
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales
k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales
k__Bacteria; p__Bacteroidetes; c__VC2_1_Bac22; o__
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__DRC31
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__GCA004
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SJA-15
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__WCHB1-50
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__envOPS12
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__pLW-97
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2
k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta
k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales
k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales
k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__Elusimicrobiales
k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__FAC88
k__Bacteria; p__Fibrobacteres; c__TG3; o__TG3-1
k__Bacteria; p__Firmicutes; c__AHT28; o__
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales
k__Bacteria; p__Firmicutes; c__Bacilli; o__Haloplasmatales
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales
k__Bacteria; p__Firmicutes; c__Clostridia; o__
k__Bacteria; p__Firmicutes; c__Clostridia; o__BSA2B-08
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
k__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales
k__Bacteria; p__Firmicutes; c__Clostridia; o__Natranaerobiales
k__Bacteria; p__Firmicutes; c__Clostridia; o__OPB54
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98
k__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales
k__Bacteria; p__Firmicutes; c__OPB54; o__
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales
k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__
k__Bacteria; p__Gemmatimonadetes; c__JL-ETNP-Z39; o__
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales
k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales
k__Bacteria; p__OD1; c__SM2F11; o__
k__Bacteria; p__OP11; c__; o__
k__Bacteria; p__OP11; c__WCHB1-64; o__
k__Bacteria; p__OP8; c__OP8_1; o__
k__Bacteria; p__OP8; c__OP8_1; o__HMMVPog-54
k__Bacteria; p__Planctomycetes; c__Pla4; o__
k__Bacteria; p__Proteobacteria; c__; o__
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__BD7-3
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Kiloniellales
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__A21b
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SBla14
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Thiobacterales
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__AF420338
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__DTB120
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__PB19
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Spirobacillales
