,MODEL BACTERIA,SIGNIFICANT BACTERIA,ALGORITHM,BETA MEAN,BETA STD,BETA
0,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter,ard regression,-0.0006027020473483637,0.06175528228672644,-0.4209039771413031
1,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria,ard regression,-0.0006027020473483637,0.06175528228672644,-0.40025851170679505
2,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter,Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Adlercreutzia,ard regression,-0.0006027020473483637,0.06175528228672644,0.18451441937375307
3,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter,Bacteria;Bacteroidetes,ard regression,-0.0006027020473483637,0.06175528228672644,0.19316306174892378
4,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella,ard regression,-0.0006027020473483637,0.06175528228672644,0.204663855176896
5,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter,Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga,ard regression,-0.0006027020473483637,0.06175528228672644,0.2217437402735448
6,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter,Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Oenococcus,ard regression,-0.0006027020473483637,0.06175528228672644,-0.23973049514020206
7,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter,Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis,ard regression,-0.0006027020473483637,0.06175528228672644,-0.5606201465531283
8,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Tardiphaga,ard regression,-0.0006027020473483637,0.06175528228672644,0.38619320491689485
9,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,ard regression,-0.0006027020473483637,0.06175528228672644,-0.14760652687822448
