ID,else;,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Adlercreutzia_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g___0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__AF12_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Odoribacter_0,k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales; f__Deferribacteraceae; g__Mucispirillum_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Candidatus Arthromitus_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megamonas_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acetobacter_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Wolbachia_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella_0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila_0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__Anaeroplasma_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia_0
130,0.010159437036063004,-0.000648117807705714,-0.010429911277588895,-0.031202008334858138,-0.0010412047349667272,-0.24772232322467877,-0.004565198518053568,-0.04006632775456063,-0.04234992165497123,-0.02052555702928933,-0.005229156530280135,-0.0007608901212325982,-0.0015193701064231343,-0.0003782860510082361,-0.0014860891015185847,-0.0005542746495416681,-0.0013327548228642264,-0.0019376783271614721,-0.0015667413107175337,-0.002618891663899938,-0.0017150697097641366,-0.00454627335494247,-0.007164844897490965,-0.005496173530018077,0.003892290246041893,-0.0019059008441235535,-0.005834245991698413,-0.0010680311100601813
143,-0.0009658659896029538,-0.00010567974335515566,0.03389389777455923,-0.03372820022185716,0.0015039291818022783,-0.11962839816062971,-0.009978025422964748,-0.02726707406584695,-0.035015287894780533,-0.01015063335818574,-0.004792917484795976,-0.0007766274117526512,-0.001963570104313853,-0.0013203720463013085,-0.0015981203739701042,-0.0005542746495416681,-0.00178743711705366,-0.0031926359905640033,-0.002501839816257429,-0.002618891663899938,-0.0017150697097641366,-0.004648473436176284,-0.007164844897490965,0.005431163441017513,-0.003246125841239414,-0.0019452440704236865,0.012066210131870012,-0.0010680311100601813
118,-0.012533372784598333,-0.0004667454197783876,0.0207126070115192,-0.03526555279589737,-0.0011178547958920872,-0.1650708252153869,-0.009947801633199171,-0.0009001774558251158,-0.03969402979339976,-0.016376555535162093,-0.0013317302192939874,0.002128129294136939,-0.002080007431114948,0.0007977846621243149,-0.0012345360483997409,-0.0005542746495416681,-0.0009667371312460293,-0.002025839932722312,0.0038220935945289117,-0.002618891663899938,-0.0017150697097641366,-0.004648473436176284,-0.007164844897490965,-0.006497996376210978,-0.010474715467240207,-0.0018475616288291033,-0.005652873603771086,-0.0010680311100601813
165,-0.012332317313149196,0.0005429012317495783,0.08422706028590463,0.016366813103112488,7.316424356320532e-05,0.15156462553339184,0.02242016341544255,0.00455392102050381,-0.024795971176624375,0.0010243298307661011,-0.006816414369258297,0.00046314341868261143,0.0068326921300668406,-0.0008224683112939517,0.011231870027862837,-0.0005542746495416681,0.004512467727785437,0.010423030698208087,-0.0024353274744763373,-0.002618891663899938,-0.0017150697097641366,-0.004569072166879263,-0.007164844897490965,-0.001993880282353128,0.028273917542966334,0.006751972491104344,-0.003928615528569945,-0.0008298273021691228
148,-0.012529141585009831,7.619366999480812e-05,0.07886938525582117,-0.030615643698143357,-0.0006108367615017216,-0.15711251749619953,-0.003372471185242996,-0.03396649961102012,-0.04173388267104906,-0.006316042606501792,-0.0008382600360046286,0.0013614173540052777,-0.0023477481086212424,-0.0014340381685888264,-0.001796908258375331,-0.0005542746495416681,-0.00291099432307131,-0.003715430372326312,-0.0024841069393363993,-0.002618891663899938,-0.0017150697097641366,-0.004600186004329582,-0.007164844897490965,-0.0038928312045066653,-0.011164873000571077,-0.001525450204392414,-0.004675347627377576,-0.000633444223439868
128,-0.009037973001877607,-0.00036844153694089973,0.03490085806107475,-0.023350683430235927,-0.0007682594574360693,-0.18919474185252289,-0.009254050427594262,-0.03759615906216253,-0.04317329565516783,-0.005130265785730884,-0.0038016583778899007,-2.633227748029569e-06,-0.002571042796954232,-0.001104539470763598,-0.0017295012707629765,-0.0005542746495416681,-0.0018040122803800128,-0.003201319225045477,0.0004373608650057748,-0.002618891663899938,-0.0017150697097641366,-0.004555248012588011,-0.007164844897490965,-0.0024952881997157114,-0.011045131505819457,-0.0027371022503690718,-0.005694407856316005,-0.0010680311100601813
179,0.03771240062876274,0.00021118719131815202,-0.03301769099056326,-0.006922607504961662,0.0011378208265455615,-0.061662663291031594,2.210439627411964e-05,0.009463304370526615,-0.03985965906854592,-0.01073580633710757,-0.002155941322492173,0.005838227889121912,0.0026050633839183874,-0.0011541823517253781,0.002319772464095964,-0.0005542746495416681,-0.0002772432243740167,0.0031633502648111414,-0.0025676309513048244,-0.002618891663899938,-0.0017150697097641366,-0.004576864686257627,-0.007164844897490965,-0.0038672767342662266,0.0017897315518943958,0.0006281879476248991,-0.00540459349218648,-0.0010680311100601813
116,-0.012158258896208652,-0.000648117807705714,-0.07652477903100564,0.05526118302740775,0.00047853144894173836,-0.14814705933492628,-0.012358624198918354,-0.05217094325049424,-0.0026492070163541617,-0.01841295249584735,0.0009011988080730935,0.0001152436731011383,0.0019112158735307436,0.001678155840428977,0.00022591754019901224,-0.00035472636893743993,0.00022645954119208773,-0.0017655656161307972,-0.0010987894103558537,-0.002618891663899938,-0.0017150697097641366,-0.004581957342641541,-0.007164844897490965,-0.005354847831774624,0.02417436832602958,-0.004105628531582231,-0.005834245991698413,-0.0010680311100601813
100,-0.012443837645506823,-0.000648117807705714,0.19247947471511434,0.03475579886650465,0.0019210765425527031,0.005991778626405265,-0.014752620324126631,-0.05297938857716523,-0.045225352312568905,0.026027679594569034,-0.004776284175114622,0.0005871683554577041,-0.0022005466984248777,-0.0016052726933462127,-0.0014157675645864595,-0.0005542746495416681,-0.0025837676450451317,-0.003800283734888789,0.002059362205830536,-0.002618891663899938,-0.0017150697097641366,-0.004618235313405688,-0.007164844897490965,-0.0016896840661164408,-0.011744322182731493,-0.0025725440422722204,-0.005834245991698413,-0.0010680311100601813
127,-0.010781938152418484,-0.00014613683314204897,-0.008956497770817003,-0.02087436880240019,-0.0009923595522511707,0.1590502310177354,0.017153691049154582,0.03668255411772448,0.1402899782017543,-0.016018109218417315,-0.007917926652978174,-0.0014297003650550826,0.001693401632148586,-5.563452494584e-06,-0.0012418631879408022,-0.0005542746495416681,0.000850504946271711,0.006611273936170425,-0.0010989696203790953,-0.002618891663899938,-0.0017150697097641366,-0.004648473436176284,-0.007164844897490965,-0.007948975479629588,0.04824240427762648,0.0067126835248753685,-0.005332265017134748,-0.0010680311100601813
