ID,Unassigned;p__;c__;o__;f___0,Unassigned;p__;c__;o__;f___1,k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae_0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae_1,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae_0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f___0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f___1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae_1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]_0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae_1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae_0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_2,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_3,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae_0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae_1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae_0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae_1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae_0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria_0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae_0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae_0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae_0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae_0
d35.9,-0.4200411305494498,-0.3362965157737144,-0.17962528347100146,-0.23661825111439796,-0.5013330561367731,0.8354787735963528,0.019229880129395523,0.5237849572276475,0.1170958167994061,-0.18290899794722817,-0.012907083492099618,-0.21817285576747986,-0.33318627284968594,1.021918372496794,1.2870217508764357,-0.10855590250487773,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,0.44056456610805406,5.925872419341051,2.3384390770976236,-0.11343781113140576,-0.21776732422798545,-0.4299882780885969,2.0826581250143343,-0.3019441783924588,0.06053606481263018,-0.4659392281949037,0.04232770937790915,-0.5347327252841108,-0.609921768203968,0.7535917409349319,-0.018953928236704564,0.6675952111833718,-0.30238689213771397,-0.38864008341507694,-0.23089835280385282,-0.5771093462792191,-0.24192306708978978,-0.5226931070097109,-0.13083645494613536,-0.4641387338023974,-0.15979550437376958,-0.2932702976818528,-0.461529066790312,-0.23238984157466702
d0.24,-2.7479307663065065,1.774668396062969,-0.17962528347100146,-0.16869609465508556,-0.4309997551749541,-0.848311804539734,-0.24744694833436048,-0.2555918070481424,0.13920236772680325,-0.46088738488000724,0.005805207810134225,-0.21817285576747986,-0.33318627284968594,-0.5512524209276983,-0.9418189876359917,-0.10855590250487773,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,0.0006535030794626553,-1.356328104110268,0.4311513112143023,-0.11343781113140576,-0.21776732422798545,1.1179260243861406,-0.5431610379728553,-0.06307905980067154,0.055393668632563405,2.525120928214999,1.409342633832027,-0.6503683995146253,-1.2846333221912931,1.037572591784393,-0.3289350616070605,0.5327241312128824,-0.26220647037968664,-0.38864008341507694,-0.23089835280385282,0.7780292523038702,0.244105164549724,-0.6247422305804126,-0.13083645494613536,-0.4641387338023974,-0.15979550437376958,-0.2932702976818528,-0.45167682796130054,-0.23238984157466702
d32.30,-0.5765728475214226,-0.3054698026512384,-0.17962528347100146,-0.24441973530927913,-0.4647021744991974,1.4243332837852314,-0.2829711811127364,0.7382433807901803,0.44274205638850767,-0.30005637830607346,-0.005021233333905864,-0.21817285576747986,-0.33318627284968594,0.18642841797162593,-0.1274834745040059,-0.10855590250487773,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,0.5824898481820501,0.25873390069265745,-0.4069017051074738,-0.11343781113140576,-0.21776732422798545,-0.4299882780885969,0.21645402369465103,-0.9583340248178293,-3.129914647240528,-0.4659392281949037,-0.7034946085002527,-0.45068765187352994,0.0693516556774055,-0.3853243614260616,-0.3289350616070605,-0.0998196552618404,-0.15787893152136445,-0.38864008341507694,-0.23089835280385282,-0.5771093462792191,0.20373251773186066,-0.6422267662292737,-0.13083645494613536,-0.4641387338023974,-0.15979550437376958,-0.2932702976818528,0.638720195432064,-0.23238984157466702
d35.12,0.25481984791770884,-0.46920086374356046,-0.17962528347100146,-0.02467516029391276,-0.39411283561701016,-0.19468227584041667,-0.15326747179679148,-2.3528402348815978,-2.025378805595202,-0.46088738488000724,0.005805207810134225,-0.21817285576747986,-0.33318627284968594,1.1147599103051535,-0.029759397985159062,-0.10855590250487773,5.792018913511593,-0.13186314490987652,-0.1090635343655897,0.8492861281148231,-0.8787219676748124,0.18540051480534733,-0.11343781113140576,-0.21776732422798545,-0.4299882780885969,-0.5431610379728553,-0.3019441783924588,0.06053606481263018,-0.4659392281949037,-0.5725613597922105,-0.5080351021135796,0.10307549426695599,-0.2001411104828294,-0.3289350616070605,-0.7148686726289699,-0.06423000860188142,-0.38864008341507694,-0.23089835280385282,-0.5771093462792191,-0.44360861932904777,-0.4685970451808777,-0.13083645494613536,2.665659813460161,-0.15979550437376958,-0.2932702976818528,-0.4336273455907847,-0.23238984157466702
d0.15,0.22892423877403661,-0.4641010888886876,-0.17962528347100146,0.2237069283475883,-0.15246793095380234,-0.6765122954196996,-0.25828772406890693,1.8914005301895522,-1.4232289121842017,-0.46088738488000724,0.005805207810134225,-0.21817285576747986,-0.33318627284968594,-0.05986986530425938,-0.9118584976354313,-0.10855590250487773,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,-0.46256927130863434,-1.088290436763579,0.32183422699811076,-0.11343781113140576,-0.21776732422798545,-0.4299882780885969,0.5425138407372836,-0.3019441783924588,0.06053606481263018,-0.4659392281949037,0.9369385752338073,-0.6984328610862536,0.21905289508810036,-0.9041793220137193,2.234369632928254,1.1550994230214175,-0.44795304345763837,-0.38864008341507694,-0.23089835280385282,-0.5771093462792191,0.3008795771673396,1.488012901306054,-0.13083645494613536,-0.06819361902485768,-0.15979550437376958,-0.2932702976818528,-0.461529066790312,-0.23238984157466702
d32.6,1.1706495126393297,0.1232499626093035,-0.17962528347100146,-0.44905604517532277,0.4961417185605005,-0.02479103716650599,-0.2994121954853122,-0.007043248073848219,0.23189863437306082,-0.29868375608283604,-0.005113632268846618,-0.21817285576747986,-0.33318627284968594,2.367107608952627,0.021174570715771706,-0.10855590250487773,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,0.5914089702006666,0.3493039895527577,-0.4021799838182567,-0.11343781113140576,-0.21776732422798545,-0.4299882780885969,-0.16011201615747553,-0.3019441783924588,0.06053606481263018,-0.4659392281949037,-0.8738290192482366,-0.4814063500724785,0.15591507766322,-0.16530698628614907,-0.14805745725039385,-0.5654899788190217,-0.17734636265406523,-0.38864008341507694,-0.23089835280385282,-0.5771093462792191,0.046513891220983705,1.6823031247425344,-0.13083645494613536,-0.04504534254246798,-0.15979550437376958,-0.2932702976818528,-0.461529066790312,-0.23238984157466702
d0.7,-0.019816510342519182,1.3598642264142864,-0.17962528347100146,-0.23661825111439796,-0.5013330561367731,-0.8043786612761267,-0.25021918764909395,0.199156504273971,-0.8202506972036322,-0.15460260207925214,-0.014812546470867069,-0.21817285576747986,-0.33318627284968594,1.5326899905432696,-0.2097172101047964,-0.10855590250487773,-0.16337072968236346,2.481543793477906,-0.1090635343655897,-0.46256927130863434,-0.9207584921702823,0.2517154867236429,-0.11343781113140576,-0.21776732422798545,-0.4299882780885969,4.519947668234338,-0.3019441783924588,0.06053606481263018,-0.4659392281949037,-0.10444725402246015,-0.5804348799712126,0.2356587730708996,-0.5556170237480881,3.086528462527656,-0.027510007595955684,-0.31105436701423017,-0.38864008341507694,-0.23089835280385282,0.15067100245080436,-0.6622745933352766,0.01581346370287528,-0.13083645494613536,-0.4641387338023974,-0.15979550437376958,-0.2932702976818528,-0.461529066790312,-0.23238984157466702
d21.8,-1.058961877296659,-0.2104700893536879,-0.17962528347100146,-0.23661825111439796,-0.5013330561367731,-0.7399697871908015,-0.254283472598743,-0.7478415405851001,-0.4413490096153213,-0.46088738488000724,0.005805207810134225,-0.21817285576747986,-0.33318627284968594,-0.6660102711735083,-0.37047374770319424,-0.10855590250487773,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,0.4505562947940818,-0.6437660427875761,0.09339246216819704,-0.11343781113140576,1.5511199107373694,-0.4299882780885969,-0.5431610379728553,-0.3019441783924588,0.06053606481263018,-0.4659392281949037,-0.3177349719807412,-0.421704015535251,-0.1293730632947824,-0.6545746191727947,-0.3289350616070605,-0.02424957221621507,-0.10852927539249234,-0.38864008341507694,-0.23089835280385282,0.42463196081654675,0.20373251773186066,-0.6422267662292737,-0.13083645494613536,5.829354339640447,-0.15979550437376958,-0.2932702976818528,-0.461529066790312,-0.23238984157466702
d18.15,0.24888581241894955,-0.4680322391764921,-0.17962528347100146,-0.2543876678913845,-0.4178990086572396,0.3867037021342429,-0.3253780565494919,1.0181904339247985,-0.5932372472574226,2.802702058701625,-0.867805563662609,-0.21817285576747986,1.0067981064187193,0.24452367695589183,0.4299126222931526,-0.10855590250487773,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,-0.46256927130863434,-0.5027961928574753,0.025213299210487865,-0.11343781113140576,-0.21776732422798545,-0.4299882780885969,0.32192541760842336,-0.3019441783924588,0.06053606481263018,-0.4659392281949037,-0.11601815590607946,2.7440938747863752,3.840139199281821,1.396112070264114,-0.3289350616070605,0.3026077290857034,-0.38830243017473826,7.086949507807751,-0.42169095475449564,-0.5771093462792191,-0.17609954783415044,-0.39485696263341924,-0.13083645494613536,0.1668545085844417,-0.15979550437376958,-0.2932702976818528,-0.4362155880858507,-0.23238984157466702
d18.27,0.22654965616357098,-0.4636334483469848,-0.17962528347100146,-0.2461767892873238,-0.4564521499278708,-0.867602925298387,-0.24622965315765255,0.37756234920190296,-0.015250398111112375,-0.46088738488000724,0.005805207810134225,-0.21817285576747986,-0.33318627284968594,0.04155412648094289,-0.4936575520730005,-0.10855590250487773,-0.16337072968236346,-0.13186314490987652,-0.1090635343655897,-0.46256927130863434,2.1457723254331307,2.5660283368976646,2.459279434488759,-0.21776732422798545,3.0707685073524016,-0.07781307454031007,1.6788492710388645,0.017892648612274555,2.540536179526642,2.0317801550659143,0.13145414783410103,0.927119910454107,1.415100833600355,-0.3289350616070605,0.3085278486156851,0.02879653788324904,-0.38864008341507694,-0.23089835280385282,4.573417030396436,0.20373251773186066,-0.6422267662292737,-0.13083645494613536,-0.4641387338023974,-0.15979550437376958,-0.2932702976818528,-0.44791242109378554,-0.23238984157466702
