BACTERIA_NUMBER,BACTERIA,ALGORITHM,RHO,P_VALUE,PARAMS
0,k__Bacteria;NA,linear regression,0.3298017771701981,0.00339957622099357,
0,k__Bacteria;NA,ridge regression,0.3404753141595247,0.00244660087242801,
0,k__Bacteria;NA,ard regression,0.3725485041274513,0.0008480777323997468,
0,k__Bacteria;NA,svr,0.3568507428527936,5.269298744609759e-13,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
0,k__Bacteria;NA,decision tree,0.02269648487207481,0.6570813948312882,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
0,k__Bacteria;NA,random forest,0.22516473780359755,8.153964893842394e-06,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
1,k__Bacteria;NA;NA,linear regression,0.25349983571036633,0.026112102410899674,
1,k__Bacteria;NA;NA,ridge regression,0.3711551606288448,0.0008900625084884414,
1,k__Bacteria;NA;NA,ard regression,0.4064356695935643,0.0002446518582073196,
1,k__Bacteria;NA;NA,svr,0.33777365435847106,9.955993552965279e-12,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
1,k__Bacteria;NA;NA,decision tree,0.05247919029548812,0.3043848149455269,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
1,k__Bacteria;NA;NA,random forest,0.26843581954724405,8.871449679509012e-08,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
2,k__Bacteria;NA;NA;NA,linear regression,0.4244364114727519,0.00011954429645771045,
2,k__Bacteria;NA;NA;NA,ridge regression,0.515063883484936,1.64432027061709e-06,
2,k__Bacteria;NA;NA;NA,ard regression,0.3665019191334981,0.001044315768933223,
2,k__Bacteria;NA;NA;NA,svr,0.28703129221399193,9.764928572431029e-09,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
2,k__Bacteria;NA;NA;NA,decision tree,-0.01107551373850433,0.8285066144111666,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
2,k__Bacteria;NA;NA;NA,random forest,0.2258560226773816,7.635356562269243e-06,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
3,k__Bacteria;NA;NA;NA;NA,linear regression,0.4687378820357907,1.7114319240980082e-05,
3,k__Bacteria;NA;NA;NA;NA,ridge regression,0.5079394289920605,2.411475519023078e-06,
3,k__Bacteria;NA;NA;NA;NA,ard regression,0.4999211315000788,3.672891880378488e-06,
3,k__Bacteria;NA;NA;NA;NA,svr,0.33724642052242393,1.076808999931921e-11,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
3,k__Bacteria;NA;NA;NA;NA,decision tree,-0.01767463441667668,0.7295676489668523,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
3,k__Bacteria;NA;NA;NA;NA,random forest,0.1793002896374543,0.00040719244752675487,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
4,k__Bacteria;NA;NA;NA;NA;NA,linear regression,0.6015865817640169,7.20085297666693e-09,
4,k__Bacteria;NA;NA;NA;NA;NA,ridge regression,0.6186708028813291,2.018486126648188e-09,
4,k__Bacteria;NA;NA;NA;NA;NA,ard regression,0.6140701403859298,2.8643291405629473e-09,
4,k__Bacteria;NA;NA;NA;NA;NA,svr,0.26229294466671216,1.7745741057793312e-07,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
4,k__Bacteria;NA;NA;NA;NA;NA,decision tree,-0.0439917060743374,0.3893538970927721,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
4,k__Bacteria;NA;NA;NA;NA;NA,random forest,0.3190937846962745,1.4645665383617582e-10,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
5,k__Bacteria;p__Actinobacteria,linear regression,0.2539828592460171,0.025818982616137347,
5,k__Bacteria;p__Actinobacteria,ridge regression,0.2675482412324517,0.018653469618018604,
5,k__Bacteria;p__Actinobacteria,ard regression,0.4073295125926704,0.00023632756975175884,
5,k__Bacteria;p__Actinobacteria,svr,0.25100435631121104,6.064807073575625e-07,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
5,k__Bacteria;p__Actinobacteria,decision tree,-0.06413346467093921,0.2092644506690104,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
5,k__Bacteria;p__Actinobacteria,random forest,0.3206432457193829,1.1799563560523885e-10,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
6,k__Bacteria;p__Actinobacteria;c__Actinobacteria,linear regression,0.1865313581827195,0.10430654872690416,
6,k__Bacteria;p__Actinobacteria;c__Actinobacteria,ridge regression,0.15487144434512853,0.17865963874004648,
6,k__Bacteria;p__Actinobacteria;c__Actinobacteria,ard regression,0.10037331089962667,0.3850865732466894,
6,k__Bacteria;p__Actinobacteria;c__Actinobacteria,svr,0.08015901722027756,0.11635767533954025,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
