,Milk,Tree_nut,Peanut,Sesame
g__Methanobrevibacter,0,-0.1681284410793394,-0.1681284410793394,-0.4251185137496565
g__Megamonas,-0.2408613190337195,-0.40250292373474483,-0.40250292373474483,-0.40250292373474483
g__Eggerthella,0,-0.16120604845764588,-0.16120604845764588,-0.3466693043607406
g__Sarcina,-0.2806735620298278,-0.2806735620298278,-0.2806735620298278,-0.2806735620298278
g__Dialister,-0.27599523442827983,-0.27599523442827983,-0.27599523442827983,-0.27599523442827983
g__Haemophilus,-0.2219009370138761,-0.2219009370138761,-0.2219009370138761,-0.2219009370138761
g__Prevotella,0,0,0,-0.18431442869685105
g__Adlercreutzia,0,-0.16147109257948994,-0.16147109257948994,-0.16147109257948994
g__Bacteroides,0,0,0,-0.14525681239117946
o__RF39,0.09668919736259864,0.09668919736259864,0.09668919736259864,0.09668919736259864
g__Veillonella,0.12394462744103148,0.12394462744103148,0.12394462744103148,0.12394462744103148
g__Bifidobacterium,0,0.1277214053753545,0.1277214053753545,0.1277214053753545
g__Faecalibacterium,0,0.12818913740575644,0.12818913740575644,0.12818913740575644
g__Escherichia,0,0,0,0.2262859106895373
g__SMB53,0.2336035561183935,0.40545120321644246,0.40545120321644246,0.40545120321644246
g__Lachnobacterium,0,0,0,0.5350361490177782
g__Phascolarctobacterium,0.20920187346022345,0.20920187346022345,0.20920187346022345,0.6722941673510547
g__Megasphaera,0,0.10536232070802308,0.10536232070802308,0.76564161060701
