BACTERIA_NUMBER,BACTERIA,ALGORITHM,RHO,P_VALUE,PARAMS
0,k__Bacteria;NA,linear regression,0.3172353961827646,0.004935668255701461,
0,k__Bacteria;NA,ridge regression,0.3020926441979073,0.007580852550986801,
0,k__Bacteria;NA,ard regression,0.4305431410694568,9.289221356156838e-05,
0,k__Bacteria;NA,svr,0.40773333367148185,7.462988359880473e-17,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
0,k__Bacteria;NA,decision tree,0.00021754139634573422,0.9966053377295532,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
0,k__Bacteria;NA,random forest,0.26043060183190697,2.1821543536128088e-07,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
1,k__Bacteria;NA;NA,linear regression,0.5557074504442925,1.5529781120851507e-07,
1,k__Bacteria;NA;NA,ridge regression,0.5579157684420841,1.3536974567272302e-07,
1,k__Bacteria;NA;NA,ard regression,0.6158052473841947,2.5118069517099222e-09,
1,k__Bacteria;NA;NA,svr,0.3448456633952732,3.4278193341118216e-12,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
1,k__Bacteria;NA;NA,decision tree,0.028830613417041493,0.5727709403894822,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
1,k__Bacteria;NA;NA,random forest,0.3553886227684485,6.647474131377957e-13,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
2,k__Bacteria;NA;NA;NA,linear regression,0.4428466270571534,5.5058577202339026e-05,
2,k__Bacteria;NA;NA;NA,ridge regression,0.4825437720174561,8.820829844169711e-06,
2,k__Bacteria;NA;NA;NA,ard regression,0.5287607129712393,7.682175161365731e-07,
2,k__Bacteria;NA;NA;NA,svr,0.350386701823642,1.4586197601030489e-12,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
2,k__Bacteria;NA;NA;NA,decision tree,0.12441557174405007,0.014575019489055848,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
2,k__Bacteria;NA;NA;NA,random forest,0.3100839216357503,5.021315267934821e-10,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
3,k__Bacteria;NA;NA;NA;NA,linear regression,0.4389032020610968,6.525023304457435e-05,
3,k__Bacteria;NA;NA;NA;NA,ridge regression,0.4463168410536831,4.733302840380142e-05,
3,k__Bacteria;NA;NA;NA;NA,ard regression,0.4682685735317314,1.749555679664266e-05,
3,k__Bacteria;NA;NA;NA;NA,svr,0.3761139393864799,2.203531202853277e-14,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
3,k__Bacteria;NA;NA;NA;NA,decision tree,0.16701825613908153,0.0010032476445191835,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
3,k__Bacteria;NA;NA;NA;NA,random forest,0.33717392329782203,1.0884693937582748e-11,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
4,k__Bacteria;p__Actinobacteria,linear regression,0.2707292707292707,0.017245109550329433,
4,k__Bacteria;p__Actinobacteria,ridge regression,0.2445975077554025,0.032040207449813375,
4,k__Bacteria;p__Actinobacteria,ard regression,0.2340028392659972,0.040529271541295146,
4,k__Bacteria;p__Actinobacteria,svr,0.30230736860737817,1.4071896977062448e-09,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
4,k__Bacteria;p__Actinobacteria,decision tree,0.07190485438071273,0.15909828112378754,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
4,k__Bacteria;p__Actinobacteria,random forest,0.2311686891682069,4.576141225969001e-06,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
5,k__Bacteria;p__Actinobacteria;c__Actinobacteria,linear regression,0.10848576068990663,0.3476466637365411,
5,k__Bacteria;p__Actinobacteria;c__Actinobacteria,ridge regression,0.015405646984594352,0.8942086070203323,
5,k__Bacteria;p__Actinobacteria;c__Actinobacteria,ard regression,-0.00212944949787055,0.9853355265749236,
5,k__Bacteria;p__Actinobacteria;c__Actinobacteria,svr,0.08590713572570938,0.092326368690674,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
5,k__Bacteria;p__Actinobacteria;c__Actinobacteria,decision tree,0.0017987328593371747,0.9719370439277212,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
5,k__Bacteria;p__Actinobacteria;c__Actinobacteria,random forest,0.10557599367718544,0.03839575076426442,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
6,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,linear regression,0.11227004752100836,0.330985998636669,
6,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,ridge regression,0.0338082969661917,0.7703648700498048,
6,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,ard regression,0.07400494242599506,0.5224020800856937,
6,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,svr,0.05635677011275848,0.2699920266157137,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
6,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,decision tree,0.01051494981079204,0.8370619492544881,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
6,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,random forest,0.12792715603968047,0.0119953709704721,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
7,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,linear regression,0.1975418994584073,0.08505419712713229,
7,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,ridge regression,0.16835795783164206,0.14329203565916995,
7,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,ard regression,0.14666912035333085,0.20306716179716008,
